AGEGROUP,salary_mean,salary_std,salary_median,first_occ,second_occ,third_occ
0,336528.75,181153.32529724648,293044.0,無業者（含無職業家庭之經濟戶長）,,
5,386465.5,491436.87344735774,218810.5,無業者（含無職業家庭之經濟戶長）,,
10,204417.24137931035,91572.87440092069,178211.0,無業者（含無職業家庭之經濟戶長）,,
15,274173.8608108108,106213.18065375774,273106.0,服務及銷售工作人員,技藝有關工作人員,機械設備操作及組裝人員
20,382306.33064039407,151545.8863599788,367016.0,服務及銷售工作人員,事務支援人員,技藝有關工作人員
25,499628.0070570641,215844.76004462712,455761.0,技術員及助理專業人員,服務及銷售工作人員,事務支援人員
30,599081.2481071202,298846.8123459917,529660.0,技術員及助理專業人員,服務及銷售工作人員,專業人員
35,682142.335186472,386342.4906135394,586332.0,技術員及助理專業人員,服務及銷售工作人員,專業人員
40,760387.7176478499,523686.54859886115,635152.0,技術員及助理專業人員,服務及銷售工作人員,專業人員
45,800310.683072334,637056.4579748154,655767.5,技術員及助理專業人員,服務及銷售工作人員,機械設備操作及組裝人員
50,814507.1794897651,630357.7465502538,661042.0,服務及銷售工作人員,技術員及助理專業人員,技藝有關工作人員
55,766661.6384591096,676191.4683263956,619853.0,服務及銷售工作人員,無業者（含無職業家庭之經濟戶長）,技術員及助理專業人員
60,640594.3495088911,642645.6674907102,479744.0,無業者（含無職業家庭之經濟戶長）,服務及銷售工作人員,基層技術工及勞力工
65,488189.70488044544,542186.9757001904,348053.0,無業者（含無職業家庭之經濟戶長）,農事、畜牧及有關工作者,服務及銷售工作人員
70,436465.8341107433,379846.2685344159,323137.5,無業者（含無職業家庭之經濟戶長）,農事、畜牧及有關工作者,服務及銷售工作人員
75,410429.70592624176,417827.8656427417,311541.5,無業者（含無職業家庭之經濟戶長）,農事、畜牧及有關工作者,服務及銷售工作人員
80,401022.6533373879,293831.82459765,319479.0,無業者（含無職業家庭之經濟戶長）,農事、畜牧及有關工作者,服務及銷售工作人員
85,433788.12658227846,351984.539748231,360711.5,無業者（含無職業家庭之經濟戶長）,農事、畜牧及有關工作者,服務及銷售工作人員
90,444274.9646226415,273938.63351183274,378691.0,無業者（含無職業家庭之經濟戶長）,農事、畜牧及有關工作者,服務及銷售工作人員
95,452382.29949238576,251485.56422674755,427150.0,無業者（含無職業家庭之經濟戶長）,,
100,429338.13636363635,343441.3435116334,318904.0,無業者（含無職業家庭之經濟戶長）,,
